feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
utc_hour,11,2026-07,5,3,2,8.34,1.6680000000000004,1.6145910095799558,0.6,7.303333333333334,-6.785,2,0.27139999999999415,-13.57
utc_hour,11,2026-08,4,2,2,2.21,0.5525,1.2092803030303032,0.5,6.385,-5.279999999999999,2,0.21066196933033832,-10.56
utc_hour,12,ALL,15,9,6,33.15,2.2100000000000004,1.7999517374517375,0.6,8.287777777777778,-6.906666666666666,3,0.3982000000000153,-12.61
utc_hour,12,BUY,7,4,3,13.48,1.9257142857142864,1.6169336384439361,0.5714285714285714,8.8325,-7.283333333333334,2,0.2504000000000087,-21.85
utc_hour,12,SELL,8,5,3,19.67,2.45875,2.0040837161817255,0.625,7.852000000000001,-6.53,1,0.14780000000000654,-19.59
utc_hour,12,2026-06,6,3,3,0.87,0.14500000000000002,1.043696634856856,0.5,6.926666666666667,-6.636666666666667,3,0.3982000000000153,-19.91
utc_hour,12,2026-07,5,4,1,29.56,5.912000000000001,5.186968838526913,0.8,9.155000000000001,-7.06,1,0.141200000000008,-7.06
utc_hour,12,2026-08,4,2,2,2.72,0.6799999999999997,1.1879751209398755,0.5,8.594999999999999,-7.234999999999999,2,0.2894000000000051,-14.47
utc_hour,13,ALL,18,8,10,-5.5,-0.3055555555555551,0.9226332817555212,0.4444444444444444,8.19875,-7.108999999999999,4,0.6364000000000305,-52.66
utc_hour,13,BUY,9,5,4,19.24,2.1377777777777784,1.829667960327728,0.5555555555555556,8.486,-5.797499999999999,1,0.12215145983947165,-23.19
utc_hour,13,SELL,9,3,6,-24.74,-2.7488888888888883,0.48350730688935284,0.3333333333333333,7.72,-7.983333333333332,3,0.6832000000000154,-47.9
utc_hour,13,2026-06,2,0,2,-13.13,-6.5649999999999995,0.0,0.0,,-6.5649999999999995,2,0.2626000000000022,-13.13
utc_hour,13,2026-07,10,4,6,-10.89,-1.0889999999999997,0.7526686350215762,0.4,8.285,-7.338333333333334,3,0.4916206915823701,-44.03
utc_hour,13,2026-08,6,4,2,18.52,3.0866666666666673,2.3295046661880834,0.6666666666666666,8.1125,-6.965,1,0.15600000000000364,-13.93
utc_hour,14,ALL,16,6,10,-37.4,-2.3374999999999995,0.5251396648044693,0.375,6.893333333333334,-7.876,3,1.0572948961546156,-73.54
utc_hour,14,BUY,5,3,2,3.95,0.7900000000000003,1.2399756986634267,0.6,6.803333333333335,-8.23,1,0.19267553718777197,-16.46
utc_hour,14,SELL,11,3,8,-41.35,-3.7590909090909084,0.33627608346709476,0.2727272727272727,6.983333333333334,-7.7875000000000005,4,0.9610986723975714,-62.3
utc_hour,14,2026-06,5,3,2,8.62,1.7240000000000006,1.5604681404421328,0.6,8.000000000000002,-7.69,1,0.16739999999999783,-15.38
utc_hour,14,2026-07,7,2,5,-27.53,-3.932857142857142,0.30602470380640284,0.2857142857142857,6.07,-7.933999999999999,2,0.550599999999995,-39.67
utc_hour,14,2026-08,4,1,3,-18.49,-4.6225,0.22016026992830032,0.25,5.220000000000001,-7.903333333333333,3,0.4737054515086257,-23.71
utc_hour,15,ALL,18,5,13,-56.03,-3.1127777777777776,0.3738965247513689,0.2777777777777778,6.692,-6.883846153846154,5,1.247199999999957,-89.49
utc_hour,15,BUY,10,2,8,-38.71,-3.8709999999999987,0.28815741081279883,0.2,7.835,-6.797499999999999,6,0.8079253053961442,-54.38
utc_hour,15,SELL,8,3,5,-17.32,-2.1649999999999996,0.5066932497863856,0.375,5.93,-7.022,3,0.4729999999999927,-35.11
utc_hour,15,2026-06,9,3,6,-17.76,-1.9733333333333327,0.5534322353532815,0.3333333333333333,7.336666666666667,-6.628333333333333,4,0.5283999999999832,-39.77
utc_hour,15,2026-07,3,1,2,-8.34,-2.78,0.38038632986627047,0.3333333333333333,5.12,-6.7299999999999995,2,0.2692000000000007,-13.46
utc_hour,15,2026-08,6,1,5,-29.93,-4.988333333333333,0.17457253171538886,0.16666666666666666,6.33,-7.252,5,0.7251999999999862,-36.26
utc_hour,16,ALL,8,5,3,18.42,2.3025,1.8047182175622543,0.625,8.262,-7.63,2,0.31458381895593385,-22.89
